project;documented refactorings decreasing cc;documented refactorings increasing cc;documented refactorings equalizing cc;undocumented refactorings decreasing cc;undocumented refactorings increasing cc;undocumented refactorings equalizing cc;
Apache Abdera; 13; 19; 2; 92; 450; 352
Apache Accumulo; 0; 0; 0; 38; 164; 122
Apache ACE (incubating); 1; 10; 4; 20; 132; 79
Apache ActiveMQ; 13; 60; 21; 221; 1910; 1022
Apache ActiveMQ ActiveIO; 1; 0; 1; 6; 9; 21
Apache ActiveMQ Apollo; 5; 6; 3; 97; 300; 247
Apache ActiveMQ CPP; 0; 4; 0; 6; 24; 39
Apache ActiveMQ Protobuf; 0; 0; 0; 2; 17; 7
Apache Ambari; 3; 3; 3; 22; 90; 65
Apache Amber (incubating); 1; 0; 2; 17; 111; 91
Apache Ant; 27; 52; 6; 540; 2164; 2029
Apache Archiva; 13; 21; 3; 276; 1028; 859
Apache Archiva sandbox; 0; 0; 0; 1; 2; 4
Apache Aries; 4; 17; 11; 136; 749; 460
Apache Avro; 0; 2; 0; 28; 225; 88
Apache Axis1; 30; 40; 30; 547; 2284; 1460
Apache Axis2 transports; 0; 5; 2; 18; 91; 90
Apache Axis2/C; 0; 0; 0; 1; 0; 1
Apache Axis2/Java; 40; 72; 55; 724; 2818; 1973
Apache Batik; 0; 4; 4; 151; 754; 472
Apache Bean Validation; 0; 0; 1; 12; 81; 102
Apache Bigtop; 0; 0; 0; 0; 9; 8
Apache Bookkeeper; 0; 0; 0; 10; 117; 35
Apache Buildr; 0; 0; 0; 1; 13; 12
Apache Camel; 30; 85; 27; 706; 4951; 3145
Apache Cassandra; 6; 26; 15; 602; 1315; 1235
Apache Cayenne; 100; 169; 110; 460; 2175; 1403
Apache Chainsaw; 2; 7; 2; 41; 200; 171
Apache Chemistry OpenCMIS; 13; 8; 5; 52; 330; 184
Apache Chukwa (Incubating); 1; 4; 0; 26; 168; 113
Apache Clerezza; 6; 6; 4; 60; 288; 300
Apache Cocoon; 28; 98; 41; 638; 1652; 1813
Apache Commons CLI; 2; 5; 2; 29; 121; 105
Apache Commons Codec; 3; 4; 6; 15; 81; 259
Apache Commons Collections; 3; 17; 7; 99; 432; 564
Apache Commons Compress; 0; 0; 0; 36; 196; 259
Apache Commons Exec; 0; 1; 1; 12; 43; 77
Apache Commons FileUpload; 0; 1; 0; 8; 34; 44
Apache Commons IO; 4; 3; 4; 40; 186; 288
Apache Commons Lang; 1; 8; 5; 89; 253; 505
Apache Commons Logging; 1; 0; 1; 31; 68; 91
Apache Commons Math; 6; 12; 3; 296; 730; 1026
Apache Commons Transaction; 0; 0; 0; 2; 19; 27
Apache Commons Validator; 2; 9; 3; 35; 88; 139
Apache Continuum; 3; 9; 2; 180; 681; 497
Apache Cordova Android; 2; 7; 0; 70; 231; 215
Apache Cordova blackberry-webworks; 1; 1; 0; 13; 58; 55
Apache Cordova iOS; 0; 2; 0; 20; 81; 62
Apache CouchDB; 0; 0; 0; 1; 0; 1
Apache CXF; 34; 88; 18; 630; 3909; 1946
Apache CXF Distributed OSGi; 1; 3; 0; 20; 99; 54
Apache DeltaCloud; 0; 0; 0; 0; 0; 1
Apache DeltaSpike; 2; 2; 5; 53; 171; 191
Apache Derby; 5; 9; 5; 397; 1248; 1135
Apache DirectMemory; 0; 5; 1; 19; 91; 119
Apache Directory Clients; 0; 1; 0; 4; 11; 9
Apache Directory Daemon; 0; 1; 1; 1; 13; 18
Apache Directory Installers; 0; 0; 1; 3; 14; 29
Apache Directory Project; 3; 10; 13; 141; 428; 526
Apache Directory Samples; 0; 0; 0; 0; 0; 3
Apache Directory Server; 27; 35; 73; 616; 1439; 2086
Apache Directory Shared; 23; 14; 31; 358; 791; 1038
Apache Directory Studio; 17; 19; 17; 159; 657; 629
Apache Directory Studio Plugin; 0; 0; 0; 1; 7; 11
Apache Empire-db; 0; 1; 0; 22; 137; 122
Apache ESME (incubating); 0; 0; 0; 1; 3; 2
Apache Etch (incubating); 0; 1; 1; 3; 26; 33
Apache Felix; 28; 56; 23; 365; 1524; 1182
Apache Flex (Incubating); 0; 0; 0; 0; 4; 12
Apache Flex - Whiteboard (Incubating); 0; 0; 0; 0; 1; 1
Apache Flume; 1; 2; 1; 46; 314; 167
Apache FOP; 8; 35; 17; 420; 1490; 1189
Apache Forrest; 4; 14; 2; 35; 164; 181
Apache FtpServer; 7; 15; 5; 66; 259; 248
Apache Geronimo; 18; 31; 10; 672; 2922; 1874
Apache Geronimo Devtools; 5; 15; 5; 120; 380; 238
Apache Geronimo genesis; 0; 3; 0; 9; 40; 30
Apache Geronimo gshell; 9; 12; 5; 166; 508; 493
Apache Geronimo jaspi; 1; 0; 0; 0; 13; 5
Apache Geronimo javamail; 0; 0; 0; 5; 18; 14
Apache Geronimo specs; 0; 0; 0; 70; 239; 223
Apache Geronimo txmanager; 0; 1; 0; 3; 29; 11
Apache Geronimo xbean; 0; 5; 0; 24; 248; 97
Apache Geronimo yoko; 0; 0; 0; 8; 10; 11
Apache Giraph; 0; 2; 0; 26; 140; 79
Apache Gora; 0; 0; 0; 8; 37; 16
Apache Hadoop common; 1; 40; 6; 243; 1824; 778
Apache Hadoop HBase; 5; 19; 2; 282; 1151; 849
Apache Hadoop HDFS; 0; 4; 3; 49; 275; 188
Apache Hadoop MapReduce; 0; 8; 0; 50; 311; 135
Apache Hadoop ZooKeeper; 0; 3; 0; 26; 230; 114
Apache Hama; 7; 9; 11; 80; 236; 201
