"message";"project_name";"date";"kind";"cc";"name";
"changing project to sourceforge repository";"tubaina";"2008-03-05 16:40:49.0";"NEW";"3";"src/java/br/com/caelum/tubaina/Book.java";
"changing project to sourceforge repository";"tubaina";"2008-03-05 16:40:49.0";"NEW";"6";"src/java/br/com/caelum/tubaina/Chapter.java";
"changing project to sourceforge repository";"tubaina";"2008-03-05 16:40:49.0";"NEW";"1";"src/java/br/com/caelum/tubaina/Chunk.java";
"changing project to sourceforge repository";"tubaina";"2008-03-05 16:40:49.0";"NEW";"0";"src/java/br/com/caelum/tubaina/CompositeChunk.java";
"changing project to sourceforge repository";"tubaina";"2008-03-05 16:40:49.0";"NEW";"4";"src/java/br/com/caelum/tubaina/Section.java";
"changing project to sourceforge repository";"tubaina";"2008-03-05 16:40:49.0";"NEW";"18";"src/java/br/com/caelum/tubaina/Tubaina.java";
"changing project to sourceforge repository";"tubaina";"2008-03-05 16:40:49.0";"NEW";"4";"src/java/br/com/caelum/tubaina/TubainaException.java";
"changing project to sourceforge repository";"tubaina";"2008-03-05 16:40:49.0";"NEW";"9";"src/java/br/com/caelum/tubaina/builder/BookBuilder.java";
"changing project to sourceforge repository";"tubaina";"2008-03-05 16:40:49.0";"NEW";"8";"src/java/br/com/caelum/tubaina/builder/ChapterBuilder.java";
"changing project to sourceforge repository";"tubaina";"2008-03-05 16:40:49.0";"NEW";"2";"src/java/br/com/caelum/tubaina/builder/ChunkSplitter.java";
"changing project to sourceforge repository";"tubaina";"2008-03-05 16:40:49.0";"NEW";"6";"src/java/br/com/caelum/tubaina/builder/ChunksMaker.java";
"changing project to sourceforge repository";"tubaina";"2008-03-05 16:40:49.0";"NEW";"6";"src/java/br/com/caelum/tubaina/builder/ChunksMakerBuilder.java";
"changing project to sourceforge repository";"tubaina";"2008-03-05 16:40:49.0";"NEW";"2";"src/java/br/com/caelum/tubaina/builder/SectionBuilder.java";
"changing project to sourceforge repository";"tubaina";"2008-03-05 16:40:49.0";"NEW";"10";"src/java/br/com/caelum/tubaina/builder/replacer/AbstractReplacer.java";
"changing project to sourceforge repository";"tubaina";"2008-03-05 16:40:49.0";"NEW";"2";"src/java/br/com/caelum/tubaina/builder/replacer/AnswerReplacer.java";
